dba,street,zipcode,searched,yelp_id,yelp_price,yelp_rating,yelp_review_count,yelp_transaction_type,yelp_is_claimed,yelp_hours,yelp_latitude,yelp_longitude,yelp_name
WENDY'S,BROADWAY,10032.0,True,XdccSXMGEUW57isMxGe37g,$,2.5,19.0,,True,"[{'open': [{'is_overnight': True, 'start': '1000', 'end': '0200', 'day': 0}, {'is_overnight': True, 'start': '1000', 'end': '0200', 'day': 1}, {'is_overnight': True, 'start': '1000', 'end': '0200', 'day': 2}, {'is_overnight': True, 'start': '1000', 'end': '0200', 'day': 3}, {'is_overnight': True, 'start': '1000', 'end': '0200', 'day': 4}, {'is_overnight': True, 'start': '1000', 'end': '0200', 'day': 5}, {'is_overnight': True, 'start': '1000', 'end': '0200', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]",40.805530499999996,-73.9394073,Wendy's
TAVERN ON THE GREEN,67th Street and Central Park West,,True,hKdvsbuQRtjajWYwjaoOQw,$$$,3.5,1130.0,,True,"[{'open': [{'is_overnight': False, 'start': '1100', 'end': '2100', 'day': 0}, {'is_overnight': False, 'start': '1100', 'end': '2100', 'day': 1}, {'is_overnight': False, 'start': '1100', 'end': '2100', 'day': 2}, {'is_overnight': False, 'start': '1100', 'end': '2100', 'day': 3}, {'is_overnight': False, 'start': '1100', 'end': '2300', 'day': 4}, {'is_overnight': False, 'start': '0900', 'end': '2300', 'day': 5}, {'is_overnight': False, 'start': '0900', 'end': '2100', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]",40.772194,-73.9776,Tavern on the Green
SUBWAY,PORT RICHMOND AVENUE,10302.0,True,,,,,,True,"[{'open': [{'is_overnight': False, 'start': '1100', 'end': '2100', 'day': 0}, {'is_overnight': False, 'start': '1100', 'end': '2100', 'day': 1}, {'is_overnight': False, 'start': '1100', 'end': '2100', 'day': 2}, {'is_overnight': False, 'start': '1100', 'end': '2100', 'day': 3}, {'is_overnight': False, 'start': '1100', 'end': '2300', 'day': 4}, {'is_overnight': False, 'start': '0900', 'end': '2300', 'day': 5}, {'is_overnight': False, 'start': '0900', 'end': '2100', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]",,,
JAVA DAY,162ND ST,11358.0,True,vTQIS8TW-m75XwbPoGpW8g,$,4.5,245.0,,True,"[{'open': [{'is_overnight': False, 'start': '0600', 'end': '1600', 'day': 0}, {'is_overnight': False, 'start': '0600', 'end': '1600', 'day': 1}, {'is_overnight': False, 'start': '0600', 'end': '1600', 'day': 2}, {'is_overnight': False, 'start': '0600', 'end': '1600', 'day': 3}, {'is_overnight': False, 'start': '0600', 'end': '1600', 'day': 4}, {'is_overnight': False, 'start': '0600', 'end': '1600', 'day': 5}, {'is_overnight': False, 'start': '0700', 'end': '1600', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]",40.7629753,-73.8052998,Java Day Cafe
DONNYBROOK,CLINTON STREET,,True,RzJQl1yBIRd_uRq0jHlP8Q,$$,3.5,150.0,,True,"[{'open': [{'is_overnight': True, 'start': '1200', 'end': '0400', 'day': 0}, {'is_overnight': True, 'start': '1200', 'end': '0400', 'day': 1}, {'is_overnight': True, 'start': '1200', 'end': '0400', 'day': 2}, {'is_overnight': True, 'start': '1200', 'end': '0400', 'day': 3}, {'is_overnight': True, 'start': '1200', 'end': '0400', 'day': 4}, {'is_overnight': True, 'start': '1200', 'end': '0400', 'day': 5}, {'is_overnight': True, 'start': '1200', 'end': '0400', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]",40.720189132230395,-73.9846226613423,Donnybrook
MI ESPIGUITA,31ST ST,11106.0,True,yvva7IYpD6J7OfKlCdQrkw,$,4.5,101.0,delivery;pickup,True,"[{'open': [{'is_overnight': False, 'start': '1000', 'end': '2130', 'day': 0}, {'is_overnight': False, 'start': '1000', 'end': '2130', 'day': 1}, {'is_overnight': False, 'start': '1000', 'end': '2130', 'day': 2}, {'is_overnight': False, 'start': '1000', 'end': '2130', 'day': 3}, {'is_overnight': False, 'start': '1000', 'end': '2130', 'day': 4}, {'is_overnight': False, 'start': '1000', 'end': '2130', 'day': 5}, {'is_overnight': False, 'start': '1000', 'end': '2130', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]",40.7612033639422,-73.9261436462402,Mi Espiguita Taqueria
RESTAURANTE & PANADERIA GUATELINDA,JAMAICA AVE,11432.0,True,34-OXY_D7cMIMnhrb-dHxw,$,5.0,1.0,,False,"[{'open': [{'is_overnight': False, 'start': '1100', 'end': '2100', 'day': 0}, {'is_overnight': False, 'start': '1100', 'end': '2100', 'day': 1}, {'is_overnight': False, 'start': '1100', 'end': '2100', 'day': 2}, {'is_overnight': False, 'start': '1100', 'end': '2100', 'day': 3}, {'is_overnight': False, 'start': '1100', 'end': '2100', 'day': 4}, {'is_overnight': False, 'start': '1100', 'end': '2100', 'day': 5}, {'is_overnight': False, 'start': '1100', 'end': '2100', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]",40.70708,-73.78899,Restaurante Y Panaderia Guatelinda
THE PRESS BOX,2 AVENUE,10022.0,True,ksIdLk_H9yRBTpOymReR2Q,$$,3.5,112.0,delivery;pickup,False,,40.75452,-73.96856,The Press Box
BAREBURGER,COLUMBUS AVE,10025.0,True,MI4LFBZ-ThCBM3r0-MI4RA,$$,3.5,283.0,delivery;pickup,True,"[{'open': [{'is_overnight': False, 'start': '1200', 'end': '2200', 'day': 0}, {'is_overnight': False, 'start': '1200', 'end': '2200', 'day': 1}, {'is_overnight': False, 'start': '1200', 'end': '2200', 'day': 2}, {'is_overnight': False, 'start': '1200', 'end': '2200', 'day': 3}, {'is_overnight': False, 'start': '1200', 'end': '2200', 'day': 4}, {'is_overnight': False, 'start': '1100', 'end': '2200', 'day': 5}, {'is_overnight': False, 'start': '1100', 'end': '2200', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]",40.794333091777204,-73.96599776932891,Bareburger
KENNEDY FRIED CHICKEN,WHITE PLAINS RD,10466.0,True,kKSZx1UoKgwiQFJe5qMoag,$,4.0,7.0,,False,"[{'open': [{'is_overnight': False, 'start': '0900', 'end': '2200', 'day': 0}, {'is_overnight': False, 'start': '0900', 'end': '2200', 'day': 1}, {'is_overnight': False, 'start': '0900', 'end': '2200', 'day': 2}, {'is_overnight': False, 'start': '0900', 'end': '2200', 'day': 3}, {'is_overnight': False, 'start': '0900', 'end': '2200', 'day': 4}, {'is_overnight': False, 'start': '0900', 'end': '2200', 'day': 5}, {'is_overnight': False, 'start': '0900', 'end': '2000', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]",40.833995,-73.917109,Kennedy Fried Chicken
COLD CUT CITY BUNNY DELI 2,W 231ST ST,10463.0,True,eob2iJPiR7-r2w4he0Tuig,$$,4.0,187.0,pickup;delivery,True,"[{'open': [{'is_overnight': False, 'start': '0900', 'end': '2030', 'day': 0}, {'is_overnight': False, 'start': '0900', 'end': '2030', 'day': 1}, {'is_overnight': False, 'start': '0900', 'end': '2030', 'day': 2}, {'is_overnight': False, 'start': '0900', 'end': '2030', 'day': 3}, {'is_overnight': False, 'start': '0900', 'end': '2130', 'day': 4}, {'is_overnight': False, 'start': '0900', 'end': '2130', 'day': 5}, {'is_overnight': False, 'start': '0900', 'end': '2100', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]",40.61567,-73.91812,Mill Basin Kosher Deli
ACCRA RESTAURANT,DAVIDSON AVENUE,10453.0,True,hcijjw-1OCZLt9iswz4vrQ,$$,3.5,28.0,,False,,40.85402,-73.90849,Accra
ROCHDALE CHICKEN AND FISH,GUY R BREWER BLVD,11434.0,True,CIL_cbEqwIEh-AN8SUvUjw,$$,3.5,31.0,delivery;pickup,True,"[{'open': [{'is_overnight': False, 'start': '1100', 'end': '2100', 'day': 0}, {'is_overnight': False, 'start': '1100', 'end': '2100', 'day': 1}, {'is_overnight': False, 'start': '1100', 'end': '2100', 'day': 2}, {'is_overnight': False, 'start': '1100', 'end': '2100', 'day': 3}, {'is_overnight': False, 'start': '1100', 'end': '2300', 'day': 4}, {'is_overnight': False, 'start': '1100', 'end': '2300', 'day': 5}, {'is_overnight': False, 'start': '1100', 'end': '2100', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]",40.682959999999994,-73.78191,Rochdale Chicken And Fish
FAY DA BAKERY,39 AVENUE,11354.0,True,6OWMji5GiqRlRPZSb1lJ4A,$,4.0,201.0,delivery,False,"[{'open': [{'is_overnight': False, 'start': '0700', 'end': '2000', 'day': 0}, {'is_overnight': False, 'start': '0700', 'end': '2000', 'day': 1}, {'is_overnight': False, 'start': '0700', 'end': '2000', 'day': 2}, {'is_overnight': False, 'start': '0700', 'end': '2000', 'day': 3}, {'is_overnight': False, 'start': '0700', 'end': '2000', 'day': 4}, {'is_overnight': False, 'start': '0700', 'end': '2000', 'day': 5}, {'is_overnight': False, 'start': '0700', 'end': '2000', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]",40.73115,-74.00176,Fay Da Bakery
BELLA NOVA'S RISTORANTE,METROPOLITAN AVE,11379.0,True,,,,,,False,"[{'open': [{'is_overnight': False, 'start': '0700', 'end': '2000', 'day': 0}, {'is_overnight': False, 'start': '0700', 'end': '2000', 'day': 1}, {'is_overnight': False, 'start': '0700', 'end': '2000', 'day': 2}, {'is_overnight': False, 'start': '0700', 'end': '2000', 'day': 3}, {'is_overnight': False, 'start': '0700', 'end': '2000', 'day': 4}, {'is_overnight': False, 'start': '0700', 'end': '2000', 'day': 5}, {'is_overnight': False, 'start': '0700', 'end': '2000', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]",,,
NI-NA-AB RESTAURANT,PARSONS BOULEVARD,,True,OaMvvcvdwnbSGGRz3oWQaA,$$,3.0,368.0,,True,"[{'open': [{'is_overnight': True, 'start': '0000', 'end': '0000', 'day': 0}, {'is_overnight': True, 'start': '0000', 'end': '0000', 'day': 1}, {'is_overnight': True, 'start': '0000', 'end': '0000', 'day': 2}, {'is_overnight': True, 'start': '0000', 'end': '0000', 'day': 3}, {'is_overnight': True, 'start': '0000', 'end': '0000', 'day': 4}, {'is_overnight': True, 'start': '0000', 'end': '0000', 'day': 5}, {'is_overnight': True, 'start': '0000', 'end': '0000', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]",40.7639509305055,-73.8274914084069,Kum Gang San
THE ARMORY,4TH AVE,11217.0,True,tYZ2hHo9ulBPY5qiyCYKPg,$$,4.5,40.0,,True,"[{'open': [{'is_overnight': True, 'start': '1700', 'end': '0200', 'day': 0}, {'is_overnight': True, 'start': '1700', 'end': '0200', 'day': 1}, {'is_overnight': True, 'start': '1700', 'end': '0200', 'day': 2}, {'is_overnight': True, 'start': '1700', 'end': '0400', 'day': 3}, {'is_overnight': True, 'start': '1700', 'end': '0400', 'day': 4}, {'is_overnight': True, 'start': '1700', 'end': '0400', 'day': 5}, {'is_overnight': True, 'start': '1700', 'end': '0200', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': False}]",40.682066999999996,-73.979484,The Armory
CURRY LEAF,CORSON AVE,10301.0,True,,,,,,True,"[{'open': [{'is_overnight': True, 'start': '1700', 'end': '0200', 'day': 0}, {'is_overnight': True, 'start': '1700', 'end': '0200', 'day': 1}, {'is_overnight': True, 'start': '1700', 'end': '0200', 'day': 2}, {'is_overnight': True, 'start': '1700', 'end': '0400', 'day': 3}, {'is_overnight': True, 'start': '1700', 'end': '0400', 'day': 4}, {'is_overnight': True, 'start': '1700', 'end': '0400', 'day': 5}, {'is_overnight': True, 'start': '1700', 'end': '0200', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': False}]",,,
CHEF ANDREA,13 AVENUE,11228.0,True,CseCPJgmN-DPKZNJk_9gTA,$$,4.0,68.0,pickup,True,"[{'open': [{'is_overnight': False, 'start': '1130', 'end': '2200', 'day': 0}, {'is_overnight': False, 'start': '1100', 'end': '2200', 'day': 1}, {'is_overnight': False, 'start': '1100', 'end': '2200', 'day': 2}, {'is_overnight': False, 'start': '1100', 'end': '2200', 'day': 3}, {'is_overnight': False, 'start': '1100', 'end': '2330', 'day': 4}, {'is_overnight': False, 'start': '1300', 'end': '2330', 'day': 5}, {'is_overnight': False, 'start': '1300', 'end': '2200', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]",40.6213375722958,-74.00654191177901,Chef Andrea
8TH WONDER JUICE BAR,2ND AVE,10010.0,True,lmuYCGmr4Cf2nlqyiNNkxA,$,4.0,72.0,delivery;pickup,True,"[{'open': [{'is_overnight': False, 'start': '0700', 'end': '2000', 'day': 0}, {'is_overnight': False, 'start': '0700', 'end': '2000', 'day': 1}, {'is_overnight': False, 'start': '0700', 'end': '2000', 'day': 2}, {'is_overnight': False, 'start': '0700', 'end': '2000', 'day': 3}, {'is_overnight': False, 'start': '0700', 'end': '2000', 'day': 4}, {'is_overnight': False, 'start': '0900', 'end': '1900', 'day': 5}, {'is_overnight': False, 'start': '0900', 'end': '1900', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]",40.7368146,-73.98146899999998,8th Wonder Juice Bar
FRANKIES DOGS ON THE GO,VANDERBILT AVENUE,10017.0,True,jx4Zu0Tt0DUp2YKxNEkPJA,$,3.0,35.0,,True,"[{'open': [{'is_overnight': False, 'start': '1100', 'end': '2300', 'day': 0}, {'is_overnight': False, 'start': '1100', 'end': '2300', 'day': 1}, {'is_overnight': False, 'start': '1100', 'end': '2300', 'day': 2}, {'is_overnight': True, 'start': '1100', 'end': '0100', 'day': 3}, {'is_overnight': True, 'start': '1100', 'end': '0100', 'day': 4}, {'is_overnight': True, 'start': '1100', 'end': '0200', 'day': 5}], 'hours_type': 'REGULAR', 'is_open_now': False}]",40.7529951720277,-73.9773309230804,Frankies Dogs On The Go
XI'AN FAMOUS FOODS,W. 45TH ST,10036.0,True,HScFap2SwbUlfC-QXVkxFA,$,4.0,1413.0,,True,"[{'open': [{'is_overnight': False, 'start': '1100', 'end': '2030', 'day': 0}, {'is_overnight': False, 'start': '1100', 'end': '2030', 'day': 1}, {'is_overnight': False, 'start': '1100', 'end': '2030', 'day': 2}, {'is_overnight': False, 'start': '1100', 'end': '2030', 'day': 3}, {'is_overnight': False, 'start': '1100', 'end': '2030', 'day': 4}, {'is_overnight': False, 'start': '1100', 'end': '2030', 'day': 5}, {'is_overnight': False, 'start': '1100', 'end': '2030', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]",40.75585,-73.98078000000002,Xi'an Famous Foods
SHOPSINS GENERAL STORE (STORE #16),ESSEX STREET,10002.0,True,6jsGtz0vwEGZ44urQKQkeQ,$$,4.0,677.0,,True,"[{'open': [{'is_overnight': False, 'start': '0900', 'end': '1400', 'day': 2}, {'is_overnight': False, 'start': '0900', 'end': '1400', 'day': 3}, {'is_overnight': False, 'start': '0900', 'end': '1400', 'day': 4}, {'is_overnight': False, 'start': '0900', 'end': '1400', 'day': 5}, {'is_overnight': False, 'start': '1000', 'end': '1400', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': False}]",40.71920553901922,-73.9876339881134,Shopsin's
CUCHIFRITOS,E. 188 TH ST,,True,pFBNTJpy1eWmfu6aQ8e1YA,$,4.0,142.0,,True,"[{'open': [{'is_overnight': True, 'start': '0900', 'end': '0100', 'day': 0}, {'is_overnight': True, 'start': '0900', 'end': '0100', 'day': 1}, {'is_overnight': True, 'start': '0900', 'end': '0100', 'day': 2}, {'is_overnight': True, 'start': '0900', 'end': '0100', 'day': 3}, {'is_overnight': True, 'start': '0900', 'end': '0100', 'day': 4}, {'is_overnight': True, 'start': '0900', 'end': '0100', 'day': 5}, {'is_overnight': True, 'start': '0900', 'end': '0100', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]",40.79804,-73.941,Cuchifritos
RIO DE LA PLATA BAKERY,CORONA AVE,11373.0,True,8BUIwWC7VI66y1qMM83OrQ,$,4.0,42.0,,False,"[{'open': [{'is_overnight': False, 'start': '0630', 'end': '2130', 'day': 0}, {'is_overnight': False, 'start': '0630', 'end': '2130', 'day': 1}, {'is_overnight': False, 'start': '0630', 'end': '2130', 'day': 2}, {'is_overnight': False, 'start': '0630', 'end': '2130', 'day': 3}, {'is_overnight': False, 'start': '0630', 'end': '2130', 'day': 4}, {'is_overnight': False, 'start': '0630', 'end': '2130', 'day': 5}, {'is_overnight': False, 'start': '0630', 'end': '2030', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]",40.74235,-73.86771,Rio De La Plata Bakery Shop
NEST RESTAURANT & BAR,101ST AVE,11419.0,True,uYX1XnUJdLMnP_5BWhKLSQ,$$,3.0,113.0,delivery;pickup,True,"[{'open': [{'is_overnight': False, 'start': '1100', 'end': '2300', 'day': 0}, {'is_overnight': False, 'start': '1100', 'end': '2300', 'day': 1}, {'is_overnight': False, 'start': '1100', 'end': '2300', 'day': 2}, {'is_overnight': False, 'start': '1100', 'end': '2300', 'day': 3}, {'is_overnight': True, 'start': '1100', 'end': '0100', 'day': 4}, {'is_overnight': True, 'start': '1100', 'end': '0100', 'day': 5}, {'is_overnight': False, 'start': '1100', 'end': '2300', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]",40.691807,-73.820355,The Nest Restaurant & Bar
LECHONERA EL FOGON,BAINBRIDGE AVE,10458.0,True,,,,,,True,"[{'open': [{'is_overnight': False, 'start': '1100', 'end': '2300', 'day': 0}, {'is_overnight': False, 'start': '1100', 'end': '2300', 'day': 1}, {'is_overnight': False, 'start': '1100', 'end': '2300', 'day': 2}, {'is_overnight': False, 'start': '1100', 'end': '2300', 'day': 3}, {'is_overnight': True, 'start': '1100', 'end': '0100', 'day': 4}, {'is_overnight': True, 'start': '1100', 'end': '0100', 'day': 5}, {'is_overnight': False, 'start': '1100', 'end': '2300', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]",,,
STARBUCKS,UNION SQ W,10003.0,True,zfSAZhPF4h-jV2nIiQWguw,$$,2.5,57.0,,True,"[{'open': [{'is_overnight': False, 'start': '0530', 'end': '0000', 'day': 0}, {'is_overnight': False, 'start': '0530', 'end': '0000', 'day': 1}, {'is_overnight': False, 'start': '0530', 'end': '0000', 'day': 2}, {'is_overnight': False, 'start': '0530', 'end': '0000', 'day': 3}, {'is_overnight': False, 'start': '0530', 'end': '0000', 'day': 4}, {'is_overnight': False, 'start': '0530', 'end': '0000', 'day': 5}, {'is_overnight': False, 'start': '0530', 'end': '0000', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]",40.736347,-73.991076,Starbucks
GOLDEN DOVE DINER,RICHMOND AVENUE,10312.0,True,MHVD3EYZKEF22dtVoGXU0Q,$$,2.5,68.0,,True,"[{'open': [{'is_overnight': True, 'start': '0000', 'end': '0000', 'day': 0}, {'is_overnight': True, 'start': '0000', 'end': '0000', 'day': 1}, {'is_overnight': True, 'start': '0000', 'end': '0000', 'day': 2}, {'is_overnight': True, 'start': '0000', 'end': '0000', 'day': 3}, {'is_overnight': True, 'start': '0000', 'end': '0000', 'day': 4}, {'is_overnight': True, 'start': '0000', 'end': '0000', 'day': 5}, {'is_overnight': True, 'start': '0000', 'end': '0000', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]",40.55885,-74.16913000000002,Golden Dove
PATSY'S PIZZERIA RESTAURANT,EAST   60 STREET,10022.0,True,xrgzB0pvsxeGEIboE6I2gg,$$,4.5,432.0,delivery;pickup,True,"[{'open': [{'is_overnight': False, 'start': '1200', 'end': '2300', 'day': 0}, {'is_overnight': False, 'start': '1200', 'end': '2300', 'day': 1}, {'is_overnight': False, 'start': '1200', 'end': '2300', 'day': 2}, {'is_overnight': False, 'start': '1200', 'end': '2300', 'day': 3}, {'is_overnight': False, 'start': '1200', 'end': '0000', 'day': 4}, {'is_overnight': False, 'start': '1200', 'end': '0000', 'day': 5}, {'is_overnight': False, 'start': '1200', 'end': '2300', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]",40.6818695,-73.97618100000003,Patsy's Pizzeria
MCDONALD'S,STRATTON STREET,11354.0,True,PGbKlytumI2WaIefhtCALw,$,1.5,22.0,,,,40.688963,-73.98066999999998,McDonald's
RAI RAI KEN,EAST   10 STREET,10003.0,True,x593rd-PSjGje4Uks1FKEg,$$,3.5,803.0,delivery;pickup,True,"[{'open': [{'is_overnight': False, 'start': '1130', 'end': '1600', 'day': 0}, {'is_overnight': False, 'start': '1800', 'end': '0000', 'day': 0}, {'is_overnight': False, 'start': '1130', 'end': '1600', 'day': 1}, {'is_overnight': False, 'start': '1800', 'end': '0000', 'day': 1}, {'is_overnight': False, 'start': '1130', 'end': '1600', 'day': 2}, {'is_overnight': False, 'start': '1800', 'end': '0000', 'day': 2}, {'is_overnight': False, 'start': '1130', 'end': '1600', 'day': 3}, {'is_overnight': False, 'start': '1800', 'end': '0000', 'day': 3}, {'is_overnight': False, 'start': '1130', 'end': '0000', 'day': 4}, {'is_overnight': False, 'start': '1130', 'end': '0000', 'day': 5}, {'is_overnight': False, 'start': '1130', 'end': '0000', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]",40.72924,-73.9858,Rai Rai Ken
EL CANTINERO,UNIVERSITY PLACE,10003.0,True,LyCE268_fz_MAZieFZY1lA,$$,3.0,503.0,,True,"[{'open': [{'is_overnight': False, 'start': '1130', 'end': '0000', 'day': 0}, {'is_overnight': False, 'start': '1130', 'end': '0000', 'day': 1}, {'is_overnight': False, 'start': '1130', 'end': '0000', 'day': 2}, {'is_overnight': True, 'start': '1130', 'end': '0200', 'day': 3}, {'is_overnight': True, 'start': '1130', 'end': '0400', 'day': 4}, {'is_overnight': True, 'start': '1130', 'end': '0400', 'day': 5}, {'is_overnight': False, 'start': '1130', 'end': '0000', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]",40.73364,-73.99324,El Cantinero
ALFONSO'S BAR,BROADWAY,11373.0,True,,,,,,True,"[{'open': [{'is_overnight': False, 'start': '1130', 'end': '0000', 'day': 0}, {'is_overnight': False, 'start': '1130', 'end': '0000', 'day': 1}, {'is_overnight': False, 'start': '1130', 'end': '0000', 'day': 2}, {'is_overnight': True, 'start': '1130', 'end': '0200', 'day': 3}, {'is_overnight': True, 'start': '1130', 'end': '0400', 'day': 4}, {'is_overnight': True, 'start': '1130', 'end': '0400', 'day': 5}, {'is_overnight': False, 'start': '1130', 'end': '0000', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]",,,
FILAMENT,36TH ST,11232.0,True,Zwrf1_mSetFmO-Z49bRDbA,$$,4.0,22.0,,True,,40.656632,-74.00862,Filament at the Landing
LA VUE,EMMONS AVE,11235.0,True,4pNgTzw8Ru4bW7hXAeO6eA,$$$$,3.5,82.0,,True,"[{'open': [{'is_overnight': False, 'start': '1400', 'end': '2300', 'day': 0}, {'is_overnight': False, 'start': '1400', 'end': '2300', 'day': 1}, {'is_overnight': False, 'start': '1400', 'end': '2300', 'day': 2}, {'is_overnight': False, 'start': '1400', 'end': '2300', 'day': 3}, {'is_overnight': True, 'start': '1300', 'end': '0400', 'day': 4}, {'is_overnight': True, 'start': '1300', 'end': '0400', 'day': 5}, {'is_overnight': False, 'start': '1200', 'end': '0000', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]",40.58395,-73.93276999999998,La Vue
RINCON DE LOS POLLOS,103RD AVE,11417.0,True,,,,,,True,"[{'open': [{'is_overnight': False, 'start': '1400', 'end': '2300', 'day': 0}, {'is_overnight': False, 'start': '1400', 'end': '2300', 'day': 1}, {'is_overnight': False, 'start': '1400', 'end': '2300', 'day': 2}, {'is_overnight': False, 'start': '1400', 'end': '2300', 'day': 3}, {'is_overnight': True, 'start': '1300', 'end': '0400', 'day': 4}, {'is_overnight': True, 'start': '1300', 'end': '0400', 'day': 5}, {'is_overnight': False, 'start': '1200', 'end': '0000', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]",,,
MR.SOON TOFU,NORTHERN BLVD,11354.0,True,,,,,,True,"[{'open': [{'is_overnight': False, 'start': '1400', 'end': '2300', 'day': 0}, {'is_overnight': False, 'start': '1400', 'end': '2300', 'day': 1}, {'is_overnight': False, 'start': '1400', 'end': '2300', 'day': 2}, {'is_overnight': False, 'start': '1400', 'end': '2300', 'day': 3}, {'is_overnight': True, 'start': '1300', 'end': '0400', 'day': 4}, {'is_overnight': True, 'start': '1300', 'end': '0400', 'day': 5}, {'is_overnight': False, 'start': '1200', 'end': '0000', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]",,,
GOSSIPS,9 AVENUE,10019.0,True,A7IV4pAQOL5M8X7StKS-4Q,$$,4.0,266.0,,True,"[{'open': [{'is_overnight': False, 'start': '0700', 'end': '2300', 'day': 0}, {'is_overnight': False, 'start': '0700', 'end': '2300', 'day': 1}, {'is_overnight': False, 'start': '0700', 'end': '2300', 'day': 2}, {'is_overnight': False, 'start': '0700', 'end': '2300', 'day': 3}, {'is_overnight': True, 'start': '0700', 'end': '0100', 'day': 4}, {'is_overnight': True, 'start': '0700', 'end': '0100', 'day': 5}, {'is_overnight': True, 'start': '0700', 'end': '0100', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]",40.764359999999996,-73.9166,Gossip Coffee
11 HANOVER GREEK,HANOVER SQ,10005.0,True,upJ9H46PS9mikHto0BNLDA,$$$,3.5,79.0,delivery;pickup,True,"[{'open': [{'is_overnight': False, 'start': '1130', 'end': '2300', 'day': 0}, {'is_overnight': False, 'start': '1130', 'end': '2300', 'day': 1}, {'is_overnight': False, 'start': '1130', 'end': '2300', 'day': 2}, {'is_overnight': False, 'start': '1130', 'end': '2300', 'day': 3}, {'is_overnight': False, 'start': '1130', 'end': '2300', 'day': 4}, {'is_overnight': False, 'start': '1600', 'end': '2300', 'day': 5}], 'hours_type': 'REGULAR', 'is_open_now': False}]",40.705264,-74.008854,11 Hanover Greek
CHINESE MUSICIAN RESTAURANT,GREENPOINT AVE,11222.0,True,XoxEVVf5Ci8nibQ-Q4P0nQ,$,3.0,116.0,delivery;pickup,True,"[{'open': [{'is_overnight': False, 'start': '1130', 'end': '2300', 'day': 0}, {'is_overnight': False, 'start': '1130', 'end': '2300', 'day': 1}, {'is_overnight': False, 'start': '1130', 'end': '2300', 'day': 2}, {'is_overnight': False, 'start': '1130', 'end': '2300', 'day': 3}, {'is_overnight': False, 'start': '1130', 'end': '2300', 'day': 4}, {'is_overnight': False, 'start': '1130', 'end': '2300', 'day': 5}, {'is_overnight': False, 'start': '1130', 'end': '2300', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]",40.7303597,-73.9537321,Chinese Musician Restaurant
DISTRICT MOT,BROADWAY,11103.0,True,YjkEjOJ05z4MVDmbrWvWdQ,$$,4.0,428.0,pickup;restaurant_reservation;delivery,True,"[{'open': [{'is_overnight': False, 'start': '1700', 'end': '2300', 'day': 0}, {'is_overnight': False, 'start': '1700', 'end': '2300', 'day': 1}, {'is_overnight': False, 'start': '1700', 'end': '2300', 'day': 2}, {'is_overnight': False, 'start': '1700', 'end': '2300', 'day': 3}, {'is_overnight': False, 'start': '1200', 'end': '1530', 'day': 4}, {'is_overnight': False, 'start': '1700', 'end': '0000', 'day': 4}, {'is_overnight': False, 'start': '1100', 'end': '0000', 'day': 5}, {'is_overnight': False, 'start': '1100', 'end': '2200', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]",40.7596365,-73.9199343,District Saigon
