dba,street,zipcode,searched,yelp_id,yelp_price,yelp_rating,yelp_review_count,yelp_transaction_type,yelp_is_claimed,yelp_hours,yelp_latitude,yelp_longitude,yelp_name
MARIA PIZZERIA,FT HAMILTON PARKWAY,11228.0,True,nLoNFh4HBwneiepkBDpyLg,$,3.5,49.0,delivery;pickup,True,"[{'open': [{'is_overnight': False, 'start': '1100', 'end': '2300', 'day': 0}, {'is_overnight': False, 'start': '1100', 'end': '2300', 'day': 1}, {'is_overnight': False, 'start': '1100', 'end': '2300', 'day': 2}, {'is_overnight': False, 'start': '1100', 'end': '2300', 'day': 3}, {'is_overnight': False, 'start': '1100', 'end': '0000', 'day': 4}, {'is_overnight': False, 'start': '1100', 'end': '0000', 'day': 5}, {'is_overnight': False, 'start': '1100', 'end': '2300', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]",40.62756,-74.01353,Maria Pizzeria
EL PENACHO II RESTAURANT,NEW UTRECHT AVE,11214.0,True,,,,,,True,"[{'open': [{'is_overnight': False, 'start': '1100', 'end': '2300', 'day': 0}, {'is_overnight': False, 'start': '1100', 'end': '2300', 'day': 1}, {'is_overnight': False, 'start': '1100', 'end': '2300', 'day': 2}, {'is_overnight': False, 'start': '1100', 'end': '2300', 'day': 3}, {'is_overnight': False, 'start': '1100', 'end': '0000', 'day': 4}, {'is_overnight': False, 'start': '1100', 'end': '0000', 'day': 5}, {'is_overnight': False, 'start': '1100', 'end': '2300', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]",,,
PIZZA BOY,WOODSIDE AVE,11377.0,True,YpFHRykLznS9U6fR6MGeRQ,$,3.0,36.0,pickup;delivery,False,,40.74889,-73.89157,Pizza Boy
L'AROMA DELI CAFE,FOREST AVENUE,11385.0,True,,,,,,False,,,,
OISHII,METROPOLITAN AVE,11418.0,True,jjabNp-HjT6nU9fY8gKcYA,$$,4.0,46.0,pickup;delivery,True,"[{'open': [{'is_overnight': False, 'start': '1130', 'end': '2200', 'day': 1}, {'is_overnight': False, 'start': '1130', 'end': '2200', 'day': 2}, {'is_overnight': False, 'start': '1130', 'end': '2200', 'day': 3}, {'is_overnight': False, 'start': '1130', 'end': '2300', 'day': 4}, {'is_overnight': False, 'start': '1130', 'end': '2300', 'day': 5}, {'is_overnight': False, 'start': '1230', 'end': '2200', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]",40.70763,-73.83565,Oishii Japanese Cuisine
CAPRI BAKERY,EAST  116 STREET,10029.0,True,vKysdsE8IjOtNgSmEQd0og,$,3.5,47.0,,True,"[{'open': [{'is_overnight': False, 'start': '0600', 'end': '2230', 'day': 0}, {'is_overnight': False, 'start': '0600', 'end': '2230', 'day': 1}, {'is_overnight': False, 'start': '0600', 'end': '2230', 'day': 2}, {'is_overnight': False, 'start': '0600', 'end': '2230', 'day': 3}, {'is_overnight': False, 'start': '0600', 'end': '2230', 'day': 4}, {'is_overnight': False, 'start': '0600', 'end': '2230', 'day': 5}, {'is_overnight': False, 'start': '0600', 'end': '2230', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]",40.7981078,-73.940405,Capri Bakery Corp
ABIKO CURRY,W 32ND ST,10001.0,True,itH4GH2Mw2D5n5kkQAtMog,$$,4.0,493.0,,True,"[{'open': [{'is_overnight': True, 'start': '1100', 'end': '0300', 'day': 0}, {'is_overnight': True, 'start': '1100', 'end': '0300', 'day': 1}, {'is_overnight': True, 'start': '1100', 'end': '0300', 'day': 2}, {'is_overnight': True, 'start': '1100', 'end': '0300', 'day': 3}, {'is_overnight': True, 'start': '1100', 'end': '0500', 'day': 4}, {'is_overnight': True, 'start': '1100', 'end': '0500', 'day': 5}, {'is_overnight': True, 'start': '1100', 'end': '0300', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]",40.74742596847229,-73.9862179359732,Abiko Curry
DOUBLE RAINBOW,BROADWAY,11373.0,True,q2_pJC5CAjl8dgXgu6VZrw,$,3.5,27.0,,False,,40.7421822,-73.88123540000002,Double Rainbow Bakery
ANELLA,FRANKLIN STREET,11222.0,True,J5y7oRfiGtxFDkYGKxFZkw,$$,4.0,382.0,pickup;delivery,True,"[{'open': [{'is_overnight': False, 'start': '1200', 'end': '2300', 'day': 0}, {'is_overnight': False, 'start': '1200', 'end': '2300', 'day': 1}, {'is_overnight': False, 'start': '1200', 'end': '2300', 'day': 2}, {'is_overnight': False, 'start': '1200', 'end': '2300', 'day': 3}, {'is_overnight': False, 'start': '1200', 'end': '0000', 'day': 4}, {'is_overnight': False, 'start': '1100', 'end': '0000', 'day': 5}, {'is_overnight': False, 'start': '1100', 'end': '2300', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]",40.73327000000001,-73.95786,Anella
WHOLESOME GARDEN PIZZA,BROADWAY,10031.0,True,z2GceMIxRfHOQUkWuf-5CQ,$,3.0,36.0,delivery;pickup,True,"[{'open': [{'is_overnight': False, 'start': '0700', 'end': '2300', 'day': 0}, {'is_overnight': False, 'start': '0700', 'end': '2300', 'day': 1}, {'is_overnight': False, 'start': '0700', 'end': '2300', 'day': 2}, {'is_overnight': False, 'start': '0700', 'end': '2300', 'day': 3}, {'is_overnight': False, 'start': '0700', 'end': '0000', 'day': 4}, {'is_overnight': False, 'start': '0700', 'end': '0000', 'day': 5}, {'is_overnight': False, 'start': '0700', 'end': '2300', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]",40.8260542220437,-73.950857494472,Wholesome Garden Pizza
EXTRA BAR CAFE,AVENUE U,11223.0,True,,,,,,True,"[{'open': [{'is_overnight': False, 'start': '0700', 'end': '2300', 'day': 0}, {'is_overnight': False, 'start': '0700', 'end': '2300', 'day': 1}, {'is_overnight': False, 'start': '0700', 'end': '2300', 'day': 2}, {'is_overnight': False, 'start': '0700', 'end': '2300', 'day': 3}, {'is_overnight': False, 'start': '0700', 'end': '0000', 'day': 4}, {'is_overnight': False, 'start': '0700', 'end': '0000', 'day': 5}, {'is_overnight': False, 'start': '0700', 'end': '2300', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]",,,
LA FE RESTAURANT,4 AVENUE,11232.0,True,A84S9X2j_OZ6WirZg_aJYA,$,4.0,11.0,,,,40.654056,-74.004228,La Fe Restaurant
EL PASO DEL VAQUERO TAQUERIA & BAR,EAST  204 STREET,10467.0,True,oSFL1AVZYouS4YrDjoLyLA,$$,3.5,563.0,delivery;pickup,True,"[{'open': [{'is_overnight': False, 'start': '1100', 'end': '2300', 'day': 0}, {'is_overnight': False, 'start': '1100', 'end': '2300', 'day': 1}, {'is_overnight': False, 'start': '1100', 'end': '2300', 'day': 2}, {'is_overnight': False, 'start': '1100', 'end': '2300', 'day': 3}, {'is_overnight': False, 'start': '1100', 'end': '0000', 'day': 4}, {'is_overnight': False, 'start': '1100', 'end': '0000', 'day': 5}, {'is_overnight': False, 'start': '1100', 'end': '2300', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]",40.74514,-73.97598,Baby Bo's Cantina
SARAJEVO FAST FOOD,34 AVENUE,11101.0,True,RirFOsDfTvEfYOO4PPVJzQ,$,4.0,129.0,,True,"[{'open': [{'is_overnight': False, 'start': '1000', 'end': '2200', 'day': 0}, {'is_overnight': False, 'start': '1000', 'end': '2200', 'day': 1}, {'is_overnight': False, 'start': '1000', 'end': '2200', 'day': 2}, {'is_overnight': False, 'start': '1000', 'end': '2200', 'day': 3}, {'is_overnight': False, 'start': '1000', 'end': '2200', 'day': 4}, {'is_overnight': False, 'start': '1000', 'end': '2200', 'day': 5}, {'is_overnight': False, 'start': '1000', 'end': '2200', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]",40.75703,-73.92189,Cevabdzinica Sarajevo
LA PARADA RESTAURANT,4TH AVE,11232.0,True,6iTdfEScJaM0liULzsKqvg,$,3.0,22.0,delivery;pickup,False,,40.65678,-74.00156,La Parada Restaurant
THE KUNJIP,W 32ND ST,10001.0,True,3GYAtJo-YgEQpFDQBX0dJg,$$,2.5,797.0,,True,"[{'open': [{'is_overnight': True, 'start': '0630', 'end': '0300', 'day': 0}, {'is_overnight': True, 'start': '0630', 'end': '0300', 'day': 1}, {'is_overnight': True, 'start': '0630', 'end': '0300', 'day': 2}, {'is_overnight': False, 'start': '0630', 'end': '0000', 'day': 3}, {'is_overnight': True, 'start': '0000', 'end': '0000', 'day': 4}, {'is_overnight': True, 'start': '0000', 'end': '0000', 'day': 5}, {'is_overnight': True, 'start': '0630', 'end': '0300', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]",40.747640000000004,-73.98724,The Kunjip
JIN CHENG RESTAURANT,ROOSEVELT AVE,11354.0,True,JTYN1oAZvLtRWWo_Sn8yWA,$$,3.0,54.0,,True,"[{'open': [{'is_overnight': False, 'start': '0930', 'end': '0000', 'day': 0}, {'is_overnight': False, 'start': '0930', 'end': '0000', 'day': 1}, {'is_overnight': False, 'start': '0930', 'end': '0000', 'day': 2}, {'is_overnight': False, 'start': '0930', 'end': '0000', 'day': 3}, {'is_overnight': False, 'start': '0930', 'end': '0000', 'day': 4}, {'is_overnight': False, 'start': '0900', 'end': '0000', 'day': 5}, {'is_overnight': False, 'start': '0900', 'end': '0000', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]",40.76046,-73.82512,Jin Cheng Restaurant
MOE'S SOUTHWEST GRILL,BAYCHESTER AVE,10475.0,True,,,,,,True,"[{'open': [{'is_overnight': False, 'start': '0930', 'end': '0000', 'day': 0}, {'is_overnight': False, 'start': '0930', 'end': '0000', 'day': 1}, {'is_overnight': False, 'start': '0930', 'end': '0000', 'day': 2}, {'is_overnight': False, 'start': '0930', 'end': '0000', 'day': 3}, {'is_overnight': False, 'start': '0930', 'end': '0000', 'day': 4}, {'is_overnight': False, 'start': '0900', 'end': '0000', 'day': 5}, {'is_overnight': False, 'start': '0900', 'end': '0000', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]",,,
CHIU HONG BAKERY,MOTT STREET,10013.0,True,LPfT3XaYsrIvC2pE9oiZyQ,$,4.5,27.0,,False,"[{'open': [{'is_overnight': False, 'start': '0700', 'end': '1900', 'day': 0}, {'is_overnight': False, 'start': '0700', 'end': '1900', 'day': 1}, {'is_overnight': False, 'start': '0700', 'end': '1900', 'day': 2}, {'is_overnight': False, 'start': '0700', 'end': '1900', 'day': 3}, {'is_overnight': False, 'start': '0700', 'end': '1900', 'day': 4}, {'is_overnight': False, 'start': '0700', 'end': '1900', 'day': 5}, {'is_overnight': False, 'start': '0700', 'end': '1900', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]",40.71965,-73.99651999999998,Chiu Hong Bakery
